idx,wav_path_clean,label,style,scenario_type,speaker
0,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/0.wav,Distress,formal,nav_hazard,
1,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/1.wav,Safety,formal,medical_issue,
2,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/2.wav,Safety,third_party,steering_failure,
3,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/3.wav,Distress,formal,medical_issue,
4,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/4.wav,Distress,formal,water_ingress,
5,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/5.wav,Routine,third_party,steering_failure,
6,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/6.wav,Routine,third_party,radio_check,
7,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/7.wav,Urgency,third_party,fire_smoke,
8,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/8.wav,Routine,third_party,cargo_shift,
9,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/9.wav,Distress,formal,radio_check,
10,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/10.wav,Safety,third_party,medical_issue,
11,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/11.wav,Safety,formal,steering_failure,
12,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/12.wav,Routine,formal,tow_request,
13,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/13.wav,Distress,third_party,radio_check,
14,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/14.wav,Routine,third_party,radio_check,
15,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/15.wav,Routine,informal,tow_request,
16,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/16.wav,Distress,informal,person_overboard,
17,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/17.wav,Safety,formal,tow_request,
18,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/18.wav,Routine,formal,collision,
19,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/19.wav,Distress,third_party,steering_failure,
20,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/20.wav,Distress,informal,fire_smoke,
21,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/21.wav,Routine,third_party,person_overboard,
22,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/22.wav,Urgency,formal,fire_smoke,
23,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/23.wav,Urgency,third_party,medical_issue,
24,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/24.wav,Routine,third_party,nav_hazard,
25,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/25.wav,Safety,third_party,medical_issue,
26,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/26.wav,Distress,formal,person_overboard,
27,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/27.wav,Routine,informal,engine_failure,
28,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/28.wav,Routine,informal,grounding,
29,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/29.wav,Urgency,formal,nav_hazard,
30,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/30.wav,Safety,formal,cargo_shift,
31,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/31.wav,Urgency,third_party,collision,
32,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/32.wav,Distress,formal,steering_failure,
33,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/33.wav,Safety,third_party,steering_failure,
34,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/34.wav,Distress,third_party,collision,
35,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/35.wav,Routine,informal,person_overboard,
36,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/36.wav,Safety,formal,steering_failure,
37,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/37.wav,Urgency,informal,radio_check,
38,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/38.wav,Routine,informal,water_ingress,
