idx,wav_clean,wav_low,wav_med,wav_high
0,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/0.wav,/content/drive/MyDrive/SeaAlert/data/audio_noisy/low/0.wav,/content/drive/MyDrive/SeaAlert/data/audio_noisy/med/0.wav,/content/drive/MyDrive/SeaAlert/data/audio_noisy/high/0.wav
1,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/1.wav,/content/drive/MyDrive/SeaAlert/data/audio_noisy/low/1.wav,/content/drive/MyDrive/SeaAlert/data/audio_noisy/med/1.wav,/content/drive/MyDrive/SeaAlert/data/audio_noisy/high/1.wav
2,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/2.wav,/content/drive/MyDrive/SeaAlert/data/audio_noisy/low/2.wav,/content/drive/MyDrive/SeaAlert/data/audio_noisy/med/2.wav,/content/drive/MyDrive/SeaAlert/data/audio_noisy/high/2.wav
3,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/3.wav,/content/drive/MyDrive/SeaAlert/data/audio_noisy/low/3.wav,/content/drive/MyDrive/SeaAlert/data/audio_noisy/med/3.wav,/content/drive/MyDrive/SeaAlert/data/audio_noisy/high/3.wav
4,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/4.wav,/content/drive/MyDrive/SeaAlert/data/audio_noisy/low/4.wav,/content/drive/MyDrive/SeaAlert/data/audio_noisy/med/4.wav,/content/drive/MyDrive/SeaAlert/data/audio_noisy/high/4.wav
5,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/5.wav,/content/drive/MyDrive/SeaAlert/data/audio_noisy/low/5.wav,/content/drive/MyDrive/SeaAlert/data/audio_noisy/med/5.wav,/content/drive/MyDrive/SeaAlert/data/audio_noisy/high/5.wav
6,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/6.wav,/content/drive/MyDrive/SeaAlert/data/audio_noisy/low/6.wav,/content/drive/MyDrive/SeaAlert/data/audio_noisy/med/6.wav,/content/drive/MyDrive/SeaAlert/data/audio_noisy/high/6.wav
7,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/7.wav,/content/drive/MyDrive/SeaAlert/data/audio_noisy/low/7.wav,/content/drive/MyDrive/SeaAlert/data/audio_noisy/med/7.wav,/content/drive/MyDrive/SeaAlert/data/audio_noisy/high/7.wav
8,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/8.wav,/content/drive/MyDrive/SeaAlert/data/audio_noisy/low/8.wav,/content/drive/MyDrive/SeaAlert/data/audio_noisy/med/8.wav,/content/drive/MyDrive/SeaAlert/data/audio_noisy/high/8.wav
9,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/9.wav,/content/drive/MyDrive/SeaAlert/data/audio_noisy/low/9.wav,/content/drive/MyDrive/SeaAlert/data/audio_noisy/med/9.wav,/content/drive/MyDrive/SeaAlert/data/audio_noisy/high/9.wav
10,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/10.wav,/content/drive/MyDrive/SeaAlert/data/audio_noisy/low/10.wav,/content/drive/MyDrive/SeaAlert/data/audio_noisy/med/10.wav,/content/drive/MyDrive/SeaAlert/data/audio_noisy/high/10.wav
11,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/11.wav,/content/drive/MyDrive/SeaAlert/data/audio_noisy/low/11.wav,/content/drive/MyDrive/SeaAlert/data/audio_noisy/med/11.wav,/content/drive/MyDrive/SeaAlert/data/audio_noisy/high/11.wav
12,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/12.wav,/content/drive/MyDrive/SeaAlert/data/audio_noisy/low/12.wav,/content/drive/MyDrive/SeaAlert/data/audio_noisy/med/12.wav,/content/drive/MyDrive/SeaAlert/data/audio_noisy/high/12.wav
13,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/13.wav,/content/drive/MyDrive/SeaAlert/data/audio_noisy/low/13.wav,/content/drive/MyDrive/SeaAlert/data/audio_noisy/med/13.wav,/content/drive/MyDrive/SeaAlert/data/audio_noisy/high/13.wav
