idx,text,label,style,scenario_type,has_codeword,codeword,text_masked,vessel,call_sign,mmsi,location,weather,pob,nature,injury
0,"MAYDAY, MAYDAY, MAYDAY. This is the fishing vessel Ocean Hunter, call sign WXYZ123, MMSI 123456789. We are situated at position 37 degrees 45 minutes North, 122 degrees 30 minutes West. We have encountered a navigation hazard; specifically, a submerged rock is located directly in our intended path. Weather conditions are currently overcast with a light swell. All persons on board, totaling six, are safe and there are no injuries reported. We are NOT in immediate distress but require assistance to navigate around this hazard. Over.",Distress,formal,nav_hazard,True,MAYDAY,"[SIGNAL], [SIGNAL], [SIGNAL]. This is the fishing vessel Ocean Hunter, call sign WXYZ123, MMSI 123456789. We are situated at position 37 degrees 45 minutes North, 122 degrees 30 minutes West. We have encountered a navigation hazard; specifically, a submerged rock is located directly in our intended path. Weather conditions are currently overcast with a light swell. All persons on board, totaling six, are safe and there are no injuries reported. We are NOT in immediate distress but require assistance to navigate around this hazard. Over.",Ocean Hunter,WXYZ123,123456789,"37 degrees 45 minutes North, 122 degrees 30 minutes West",overcast with a light swell,6,navigation hazard,no injuries reported
1,"This is the vessel Ocean Explorer, call sign ABCD123. We are currently positioned at latitude 34 degrees 15 minutes North, longitude 120 degrees 45 minutes West. We have a medical situation on board involving a crew member who has sustained a severe laceration to the arm. Weather conditions are clear with calm seas. There are 15 persons on board. Requesting immediate medical assistance and guidance on treatment protocol. Please advise on the nearest vessel or shore facility capable of assisting.",Safety,formal,medical_issue,False,NONE,"This is the vessel Ocean Explorer, call sign ABCD123. We are currently positioned at latitude 34 degrees 15 minutes North, longitude 120 degrees 45 minutes West. We have a medical situation on board involving a crew member who has sustained a severe laceration to the arm. Weather conditions are clear with calm seas. There are 15 persons on board. Requesting immediate medical assistance and guidance on treatment protocol. Please advise on the nearest vessel or shore facility capable of assisting.",Ocean Explorer,ABCD123,123456789,"34 degrees 15 minutes North, 120 degrees 45 minutes West",clear with calm seas,15,medical issue,severe laceration to the arm
2,"SECURITE, SECURITE. This is the fishing vessel Ocean's Bounty reporting a steering failure. Location 34°12.5'N, 118°28.9'W. No injuries reported, 5 persons on board. We have lost maneuverability and are adrift at present. Last night, we experienced similar steering issues on the cargo ship Horizon Star, which was successfully resolved by a nearby tug. Weather is calm, with 5 knots from the west. Over.",Safety,third_party,steering_failure,True,SECURITE,"[SIGNAL], [SIGNAL]. This is the fishing vessel Ocean's Bounty reporting a steering failure. Location 34°12.5'N, 118°28.9'W. No injuries reported, 5 persons on board. We have lost maneuverability and are adrift at present. Last night, we experienced similar steering issues on the cargo ship Horizon Star, which was successfully resolved by a nearby tug. Weather is calm, with 5 knots from the west. Over.",Ocean's Bounty,WZ1234,123456789,"34°12.5'N, 118°28.9'W","Calm, 5 knots from the west",5,steering failure,none
3,"This is the vessel Ocean Explorer, call sign ABC123, MMSI 123456789, currently located at latitude 34 degrees 15 minutes North, longitude 118 degrees 30 minutes West. We have an urgent medical situation on board. One crew member, aged 32, has suffered a severe allergic reaction and is in critical condition. Weather conditions are calm with clear visibility, but we require immediate medical assistance. There are 12 persons on board. Please respond to this call for urgent medical support.",Distress,formal,medical_issue,False,NONE,"This is the vessel Ocean Explorer, call sign ABC123, MMSI 123456789, currently located at latitude 34 degrees 15 minutes North, longitude 118 degrees 30 minutes West. We have an urgent medical situation on board. One crew member, aged 32, has suffered a severe allergic reaction and is in critical condition. Weather conditions are calm with clear visibility, but we require immediate medical assistance. There are 12 persons on board. Please respond to this call for urgent medical support.",Ocean Explorer,ABC123,123456789,"34 degrees 15 minutes North, 118 degrees 30 minutes West",calm with clear visibility,12,severe allergic reaction,critical condition
4,"This is the fishing vessel Ocean Dawn, currently at position 34 degrees 15 minutes North, 75 degrees 30 minutes West. We are experiencing severe water ingress in the engine room due to a compromised hull. The sea conditions are rough with swells exceeding 3 meters and winds at 30 knots. We have 5 persons on board. Immediate assistance is required as the engine has shut down and we are taking on water rapidly. Over.",Distress,formal,water_ingress,False,NONE,"This is the fishing vessel Ocean Dawn, currently at position 34 degrees 15 minutes North, 75 degrees 30 minutes West. We are experiencing severe water ingress in the engine room due to a compromised hull. The sea conditions are rough with swells exceeding 3 meters and winds at 30 knots. We have 5 persons on board. Immediate assistance is required as the engine has shut down and we are taking on water rapidly. Over.",Ocean Dawn,WDC1234,123456789,"34 degrees 15 minutes North, 75 degrees 30 minutes West","Sea conditions rough, swells 3 meters, winds 30 knots",5,water ingress in engine room,None
5,"This is a relay from the fishing vessel 'Bluefin'. They are currently experiencing a steering failure and are unable to maintain course. At position 34° 15.0' N, 76° 34.5' W, the crew reports calm seas and visibility of around 5 miles. There are 4 persons on board. They have checked the machinery and found no signs of fire, but steering control is unresponsive. Requesting assistance or advice from nearby vessels. Over.",Routine,third_party,steering_failure,False,NONE,"This is a relay from the fishing vessel 'Bluefin'. They are currently experiencing a steering failure and are unable to maintain course. At position 34° 15.0' N, 76° 34.5' W, the crew reports calm seas and visibility of around 5 miles. There are 4 persons on board. They have checked the machinery and found no signs of fire, but steering control is unresponsive. Requesting assistance or advice from nearby vessels. Over.",Bluefin,,,"34° 15.0' N, 76° 34.5' W","calm seas, visibility 5 miles",4,steering failure,
6,"This is the fishing vessel Ocean Explorer relaying a radio check for the cargo ship Horizon Star. Position is 35 degrees 12 minutes North, 75 degrees 30 minutes West. Conditions are clear with a light breeze. Ocean Explorer confirms that Horizon Star is receiving loud and clear. Please respond with your status. Over.",Routine,third_party,radio_check,False,NONE,"This is the fishing vessel Ocean Explorer relaying a radio check for the cargo ship Horizon Star. Position is 35 degrees 12 minutes North, 75 degrees 30 minutes West. Conditions are clear with a light breeze. Ocean Explorer confirms that Horizon Star is receiving loud and clear. Please respond with your status. Over.",Ocean Explorer,OCN1234,123456789,35°12'N 75°30'W,clear with a light breeze,,,
7,"This is a relay from the fishing vessel Sea Explorer. They report a fire on board, located in the engine room. Position is 37 degrees 45 minutes North, 122 degrees 30 minutes West. Weather is calm with visibility at about 5 nautical miles. They have activated the fire suppression system but are concerned about smoke spreading. All 10 personnel on board are accounted for, but they require immediate assistance. Over.",Urgency,third_party,fire_smoke,False,NONE,"This is a relay from the fishing vessel Sea Explorer. They report a fire on board, located in the engine room. Position is 37 degrees 45 minutes North, 122 degrees 30 minutes West. Weather is calm with visibility at about 5 nautical miles. They have activated the fire suppression system but are concerned about smoke spreading. All 10 personnel on board are accounted for, but they require immediate assistance. Over.",Sea Explorer,SEEX,123456789,37°45'N 122°30'W,"Calm, visibility 5 nautical miles",10,Fire in engine room,None reported
8,"This is the cargo vessel Ocean Trader relaying important information. We observed the bulk carrier Sea Horizon shifting cargo while at anchor near Latitude 34.1234, Longitude -76.9876. The operation was conducted under calm conditions with visibility at about five nautical miles. No personnel were reported injured during the cargo shift. However, the master of Ocean Trader recommends maintaining a safe distance from Sea Horizon during their operation. All nearby vessels should remain vigilant.",Routine,third_party,cargo_shift,False,NONE,"This is the cargo vessel Ocean Trader relaying important information. We observed the bulk carrier Sea Horizon shifting cargo while at anchor near Latitude 34.1234, Longitude -76.9876. The operation was conducted under calm conditions with visibility at about five nautical miles. No personnel were reported injured during the cargo shift. However, the master of Ocean Trader recommends maintaining a safe distance from Sea Horizon during their operation. All nearby vessels should remain vigilant.",Ocean Trader,OCN1234,123456789,"Latitude 34.1234, Longitude -76.9876","calm conditions, visibility 5 nautical miles",15,cargo shift,none
9,"MAYDAY, MAYDAY, MAYDAY. This is the fishing vessel Ocean Harvester, call sign WXYZ123, MMSI 123456789, located at 37 degrees 12 minutes North, 122 degrees 45 minutes West. We are experiencing a complete engine failure and drifting towards rocks in heavy seas. Current weather conditions include 25-knot winds and 3-meter waves. There are 4 persons on board. Request immediate assistance. Over.",Distress,formal,radio_check,True,MAYDAY,"[SIGNAL], [SIGNAL], [SIGNAL]. This is the fishing vessel Ocean Harvester, call sign WXYZ123, MMSI 123456789, located at 37 degrees 12 minutes North, 122 degrees 45 minutes West. We are experiencing a complete engine failure and drifting towards rocks in heavy seas. Current weather conditions include 25-knot winds and 3-meter waves. There are 4 persons on board. Request immediate assistance. Over.",Ocean Harvester,WXYZ123,123456789,"37 degrees 12 minutes North, 122 degrees 45 minutes West",25-knot winds and 3-meter waves,4,complete engine failure,none
