model,type,setting,acc,macro_f1,with_cw_acc,no_cw_acc,gap
logistic_regression,baseline,clean,0.6797,0.6742,1.0,0.5263,0.4737
linear_svm,baseline,clean,0.6904,0.6862,0.989,0.5474,0.4416
naive_bayes,baseline,clean,0.5907,0.5922,0.9341,0.4263,0.5078
logistic_regression,baseline,asr_med,0.4804,0.4268,0.5165,0.4632,0.0533
logistic_regression,baseline,asr_high,0.4804,0.4231,0.4945,0.4737,0.0208
roberta-base,transformer,clean,0.669,0.6642,1.0,0.5105,0.4895
roberta-base,transformer,asr_med,0.6157,0.605,0.8462,0.5053,0.3409
roberta-base,transformer,asr_high,0.573,0.5693,0.8352,0.4474,0.3878
logistic_regression,baseline,B_masked,0.573,0.5651,0.7802,0.4737,0.3065
roberta-base,transformer,B_masked,0.5338,0.5204,0.5824,0.5105,0.0719
logistic_regression,baseline,C_clean_to_masked,0.5053,0.4441,0.4615,0.5263,-0.0648
roberta-base,transformer,C_clean_to_masked,0.5338,0.5204,0.5824,0.5105,0.0719
logistic_regression,baseline,trap_set,0.2667,0.1392,,,
roberta-base,transformer,trap_set,0.3333,0.2359,,,
