idx,split
0,train
1,test
2,val
3,test
4,val
5,val
6,train
7,train
8,train
9,train
10,train
11,test
12,test
13,train
14,train
15,val
16,train
17,train
18,train
19,train
20,train
21,train
22,val
23,train
24,train
25,test
26,train
27,test
28,train
29,train
30,train
31,train
32,train
33,val
34,train
35,test
36,train
37,train
38,train
39,train
40,val
41,train
42,train
43,train
44,train
45,train
46,test
47,test
48,val
49,train
50,test
51,train
52,train
53,val
54,train
55,train
56,train
57,train
58,val
59,test
60,val
61,test
62,test
63,train
64,test
65,train
66,train
67,train
68,train
69,val
70,train
71,train
72,val
73,train
74,test
75,test
76,train
77,train
78,test
79,train
80,test
81,train
82,train
83,test
84,train
85,train
86,train
87,train
88,train
89,train
90,train
91,val
92,train
93,train
94,val
95,train
96,train
97,train
98,train
99,train
100,train
101,train
102,train
103,train
104,train
105,train
106,train
107,train
108,train
109,train
110,val
111,test
112,train
113,test
114,train
115,train
116,test
117,test
118,train
119,val
120,val
121,train
122,train
123,train
124,val
125,train
126,train
127,train
128,train
129,train
130,train
131,train
132,train
133,train
134,train
135,train
136,test
137,train
138,train
139,train
140,test
141,train
142,val
143,train
144,train
145,train
146,train
147,val
148,test
149,train
150,train
151,train
152,train
153,train
154,train
155,train
156,train
157,train
158,test
159,train
160,test
161,test
162,train
163,train
164,test
165,test
166,train
167,test
168,train
169,train
170,train
171,train
172,test
173,test
174,train
175,train
176,train
177,val
178,val
179,train
180,test
181,train
182,train
183,test
184,train
185,test
186,val
187,train
188,train
189,train
190,train
191,train
192,train
193,test
194,test
195,train
196,train
197,test
198,train
199,train
200,train
201,train
202,val
203,train
204,val
205,train
206,val
207,train
208,train
209,val
210,test
211,train
212,val
213,val
214,test
215,train
216,train
217,train
218,test
219,train
220,train
221,val
222,train
223,train
224,train
225,val
226,train
227,test
228,train
229,train
230,test
231,train
232,train
233,train
234,train
235,train
236,train
237,train
238,train
239,train
240,train
241,val
242,train
243,train
244,train
245,train
246,val
247,train
248,train
249,val
250,train
251,train
252,train
253,train
254,val
255,train
256,train
257,train
258,test
259,train
260,train
261,train
262,val
263,val
264,train
265,train
266,val
267,train
268,val
269,train
270,train
271,train
272,test
273,val
274,val
275,train
276,val
277,train
278,train
279,train
280,train
281,train
282,train
283,train
284,train
285,train
286,val
287,train
288,train
289,test
290,test
291,train
292,train
293,train
294,test
295,train
296,train
297,train
298,train
299,train
300,test
301,train
302,val
303,train
304,val
305,train
306,train
307,test
308,train
309,test
310,val
311,train
312,test
313,train
314,train
315,test
316,val
317,train
318,train
319,train
320,test
321,train
322,train
323,val
324,train
325,train
326,train
327,train
328,test
329,train
330,train
331,train
332,train
333,train
334,train
335,train
336,val
337,test
338,train
339,train
340,train
341,test
342,train
343,train
344,train
345,train
346,train
347,train
348,train
349,train
350,train
351,train
352,train
353,train
354,train
355,train
356,train
357,test
358,val
359,train
360,train
361,train
362,val
363,train
364,val
365,train
366,train
367,train
368,train
369,test
370,train
371,train
372,train
373,train
374,train
375,test
376,val
377,test
378,test
379,train
380,train
381,train
382,train
383,val
384,train
385,train
386,test
387,train
388,val
389,val
390,train
391,train
392,train
393,train
394,test
395,train
396,train
397,val
398,test
399,test
400,val
401,test
402,test
403,val
404,test
405,train
406,train
407,train
408,train
409,train
410,train
411,val
412,train
413,train
414,test
415,train
416,test
417,train
418,train
419,train
420,val
421,train
422,test
423,train
424,train
425,train
426,train
427,train
428,train
429,train
430,train
431,train
432,train
433,train
434,train
435,train
436,train
437,train
438,train
439,train
440,val
441,val
442,train
443,val
444,train
445,train
446,train
447,val
448,train
449,train
450,val
451,test
452,val
453,train
454,val
455,test
456,train
457,val
458,train
459,train
460,train
461,val
462,train
463,val
464,val
465,train
466,train
467,test
468,test
469,train
470,train
471,train
472,train
473,val
474,train
475,test
476,train
477,train
478,train
479,train
480,train
481,train
482,val
483,train
484,train
485,train
486,train
487,train
488,val
489,train
490,train
491,train
492,val
493,train
494,train
495,train
496,train
497,train
498,train
499,train
500,test
501,val
502,train
503,train
504,train
505,val
506,train
507,train
508,train
509,val
510,train
511,train
512,train
513,train
514,train
515,train
516,test
517,val
518,test
519,train
520,test
521,train
522,train
523,val
524,val
525,test
526,train
527,val
528,val
529,train
530,train
531,train
532,train
533,test
534,train
535,train
536,train
537,val
538,train
539,train
540,train
541,test
542,train
543,train
544,train
545,train
546,train
547,train
548,val
549,train
550,test
551,train
552,val
553,train
554,train
555,test
556,test
557,train
558,train
559,val
560,train
561,train
562,train
563,train
564,train
565,train
566,train
567,train
568,train
569,test
570,train
571,train
572,train
573,train
574,test
575,test
576,train
577,train
578,test
579,train
580,train
581,train
582,test
583,train
584,train
585,train
586,train
587,train
588,val
589,val
590,train
591,val
592,val
593,train
594,train
595,train
596,val
597,train
598,train
599,val
600,train
601,test
602,train
603,test
604,val
605,test
606,train
607,train
608,train
609,val
610,train
611,train
612,test
613,train
614,train
615,val
616,val
617,train
618,train
619,train
620,train
621,val
622,train
623,train
624,train
625,train
626,train
627,train
628,train
629,train
630,train
631,train
632,train
633,train
634,train
635,test
636,val
637,val
638,train
639,test
640,train
641,train
642,train
643,val
644,train
645,train
646,train
647,train
648,test
649,train
650,train
651,val
652,train
653,test
654,train
655,val
656,train
657,train
658,val
659,train
660,test
661,train
662,train
663,val
664,train
665,train
666,train
667,train
668,train
669,train
670,train
671,test
672,train
673,test
674,train
675,val
676,train
677,train
678,train
679,train
680,train
681,train
682,train
683,train
684,train
685,test
686,train
687,train
688,test
689,val
690,train
691,train
692,test
693,train
694,train
695,val
696,train
697,train
698,train
699,train
700,train
701,train
702,train
703,val
704,val
705,train
706,train
707,train
708,val
709,train
710,train
711,train
712,train
713,train
714,train
715,val
716,train
717,val
718,train
719,train
720,val
721,train
722,train
723,train
724,train
725,train
726,val
727,train
728,val
729,test
730,train
731,train
732,test
733,test
734,test
735,train
736,train
737,train
738,train
739,test
740,test
741,train
742,test
743,train
744,train
745,train
746,train
747,train
748,test
749,train
750,train
751,train
752,val
753,train
754,test
755,val
756,train
757,train
758,train
759,train
760,train
761,val
762,train
763,train
764,train
765,train
766,test
767,train
768,train
769,train
770,train
771,test
772,val
773,val
774,train
775,train
776,test
777,test
778,val
779,train
780,train
781,train
782,test
783,train
784,train
785,train
786,val
787,train
788,val
789,test
790,train
791,val
792,val
793,train
794,train
795,train
796,train
797,test
798,train
799,train
800,test
801,train
802,train
803,val
804,train
805,test
806,test
807,train
808,train
809,val
810,train
811,train
812,val
813,train
